Pair,SL,TP,Trailing,MaxDD,WinRate,P/D,Profit
XAUUSD,60,60,0.5,557,66,4.6,2564
XAUUSD,60,60,0.4,642,66,3.28,2106
XAUUSD,70,70,0.5,606,67,4.87,2954
XAUUSD,210,210,0.5,1092,67,1.86,2030
XAUUSD,80,80,0.5,614,68,5,3073
XAUUSD,220,220,0.5,896,68,3.38,3026
XAUUSD,130,130,0.5,616,69,4.3,2646
XAUUSD,90,90,0.5,643,69,5.76,3701
XAUUSD,240,240,0.5,646,69,3.13,2020
XAUUSD,270,270,0.5,690,69,3.73,2571
XAUUSD,300,300,0.4,735,69,2.16,1590
XAUUSD,120,120,0.5,866,69,2.82,2439
XAUUSD,290,290,0.5,871,69,1.75,1523
XAUUSD,100,100,0.5,909,69,2.78,2530
XAUUSD,70,70,0.4,470,70,7.82,3675
XAUUSD,80,80,0.4,546,70,6.58,3591
XAUUSD,60,60,0.3,579,70,6.31,3653
XAUUSD,300,300,0.5,588,70,4.11,2415
XAUUSD,160,160,0.5,665,70,4.11,2736
XAUUSD,270,270,0.4,678,70,3.06,2072
XAUUSD,280,280,0.5,705,70,4.21,2970
XAUUSD,150,150,0.5,798,70,3.55,2832
XAUUSD,90,90,0.4,809,70,4.52,3654
XAUUSD,250,250,0.5,835,70,3.75,3131
XAUUSD,200,200,0.5,852,70,2.52,2148
XAUUSD,190,190,0.5,927,70,1.66,1536
XAUUSD,220,220,0.4,983,70,1.75,1721
XAUUSD,240,240,0.4,1097,70,1.42,1557
XAUUSD,110,110,0.5,1135,70,2.64,2992
XAUUSD,250,250,0.4,1164,70,1.41,1642
XAUUSD,70,70,0.3,472,71,8.6,4058
XAUUSD,100,100,0.4,544,71,6.05,3291
XAUUSD,280,280,0.4,610,71,4.85,2960
XAUUSD,80,80,0.3,713,71,5.5,3922
XAUUSD,230,230,0.5,800,71,3.51,2806
XAUUSD,260,260,0.5,865,71,4.57,3949
XAUUSD,180,180,0.5,931,71,2.09,1948
XAUUSD,140,140,0.5,1028,71,3.08,3170
XAUUSD,60,60,0.2,377,72,14.63,5516
XAUUSD,290,290,0.4,672,72,4.09,2749
XAUUSD,260,260,0.4,1028,72,2.72,2801
XAUUSD,90,90,0.3,556,73,7.57,4208
XAUUSD,160,160,0.4,640,73,5.15,3299
XAUUSD,120,120,0.3,653,73,5.13,3348
XAUUSD,190,190,0.4,685,73,2.87,1969
XAUUSD,170,170,0.4,718,73,4.09,2935
XAUUSD,170,170,0.5,756,73,3.52,2663
XAUUSD,80,80,0.3,819,73,8.26,6766
XAUUSD,110,110,0.4,852,73,5.23,4455
XAUUSD,180,180,0.4,1025,73,2.66,2728
XAUUSD,270,270,0.3,1081,73,1.27,1377
XAUUSD,250,250,0.3,1255,73,1.46,1833
XAUUSD,70,70,0.2,432,74,13.15,5679
XAUUSD,130,130,0.4,543,74,7.64,4146
XAUUSD,90,90,0.2,603,74,7.07,4261
XAUUSD,100,100,0.3,605,74,7.76,4692
XAUUSD,140,140,0.4,674,74,5.07,3415
XAUUSD,210,210,0.4,868,74,2.78,2411
XAUUSD,290,290,0.3,993,74,1.68,1669
XAUUSD,280,280,0.3,1008,74,1.73,1741
XAUUSD,260,260,0.3,1116,74,1.8,2005
XAUUSD,230,230,0.4,1128,74,2.1,2371
XAUUSD,100,100,0.2,535,75,8.51,4555
XAUUSD,120,120,0.4,598,75,6.98,4172
XAUUSD,80,80,0.2,611,75,9.46,5781
XAUUSD,200,200,0.4,625,75,4.29,2679
XAUUSD,110,110,0.3,727,75,7,5089
XAUUSD,220,220,0.3,793,75,3.08,2445
XAUUSD,120,120,0.3,814,75,6.89,5611
XAUUSD,150,150,0.4,821,75,4.46,3665
XAUUSD,300,300,0.3,975,75,1.91,1863
XAUUSD,110,110,0.2,514,77,10.82,5564
XAUUSD,210,210,0.3,548,77,5.07,2781
XAUUSD,130,130,0.3,656,77,7.78,5103
XAUUSD,240,240,0.3,716,77,4.76,3405
XAUUSD,140,140,0.3,761,77,5.52,4201
XAUUSD,150,150,0.3,860,77,4.86,4183
XAUUSD,160,160,0.2,1120,77,3.37,3776
XAUUSD,200,200,0.3,408,78,9.03,3685
XAUUSD,230,230,0.3,483,79,8.71,4209
XAUUSD,120,120,0.2,510,79,13.12,6690
XAUUSD,160,160,0.3,699,79,7.39,5168
XAUUSD,280,280,0.2,742,79,3.15,2340
XAUUSD,300,300,0.2,853,79,2.29,1951
XAUUSD,190,190,0.2,910,79,3.73,3395
XAUUSD,170,170,0.2,1020,79,4.74,4834
XAUUSD,190,190,0.3,570,80,7.56,4309
XAUUSD,130,130,0.2,631,80,9.21,5811
XAUUSD,200,200,0.2,670,80,5.79,3879
XAUUSD,140,140,0.2,758,80,7.58,5746
XAUUSD,180,180,0.3,857,80,4.95,4244
XAUUSD,150,150,0.2,900,80,5.74,5162
XAUUSD,170,170,0.3,690,81,7.48,5160
XAUUSD,210,210,0.2,806,81,6.05,4873
XAUUSD,270,270,0.2,1002,81,3.04,3046
XAUUSD,250,250,0.2,1081,81,3.33,3596
XAUUSD,220,220,0.2,537,83,10.8,5801
XAUUSD,180,180,0.2,587,83,11.16,6553
XAUUSD,290,290,0.2,684,83,5.26,3597
XAUUSD,230,230,0.2,641,84,8.44,5412
XAUUSD,260,260,0.2,1143,84,3.99,4559
XAUUSD,240,240,0.2,466,85,11.71,5459
